scrapedURL,concactURL,Price,nestedAddress,totalAddress,bed,bath,sqFeet,imageURL,latitude,longitude,outputAddress,,original URL,http://calgary.craigslist.ca/search/apa/
/apa/4899878541.html,http://calgary.craigslist.ca/apa/4899878541.html,1200,CENTRE ST NE at CENTRE ST & BEDDINGTON NE,"CENTRE ST NE at CENTRE ST & BEDDINGTON NE, Calgary, Alberta, Canada",2,1,1300,http://images.craigslist.org/01010_2oOGZ6Cl8iY_600x450.jpg,51.125135,-114.071364,"Centre Street Northeast & Beddington Boulevard Northeast, Calgary, AB T2K, Canada",,,
/apa/4887822071.html,http://calgary.craigslist.ca/apa/4887822071.html,1500,1711 - 25th Avenue SW,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00x0x_jXvxh24FrQj_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada",,,
/apa/4887821298.html,http://calgary.craigslist.ca/apa/4887821298.html,1300,1711 - 25th Avenue SW,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada",,,
/apa/4899762759.html,http://calgary.craigslist.ca/apa/4899762759.html,1950,,", Calgary, Alberta, Canada",2,1,1200,#N/A,51.048615,-114.070846,"Calgary, AB, Canada",,,
/apa/4899505016.html,http://calgary.craigslist.ca/apa/4899505016.html,3000,,", Calgary, Alberta, Canada",6,3.5,4000,http://images.craigslist.org/00b0b_h5pPpLOKUh3_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada",,,
/apa/4899364153.html,http://calgary.craigslist.ca/apa/4899364153.html,1400,Sherwood Gate NW,"Sherwood Gate NW, Calgary, Alberta, Canada",2,1,900,http://images.craigslist.org/01717_C6wMfnBGw9_600x450.jpg,51.163239,-114.146882,"Sherwood Gate Northwest, Calgary, AB T3R, Canada",,,
/apa/4899192289.html,http://calgary.craigslist.ca/apa/4899192289.html,1400,3408 23 Ave sw,"3408 23 Ave sw, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00T0T_e7X8UtU3lSp_600x450.jpg,51.033296,-114.135963,"3408 23 Avenue Southwest, Calgary, AB T3E 0J5, Canada",,,
/apa/4899046274.html,http://calgary.craigslist.ca/apa/4899046274.html,1000,1053 10 Street Southwest,"1053 10 Street Southwest, Calgary, Alberta, Canada",1,1,780,http://images.craigslist.org/00o0o_fbOlc6qPrOa_600x450.jpg,51.043364,-114.086494,"1053 10 Street Southwest, Calgary, AB T2R 1E3, Canada",,,
/apa/4887253590.html,http://calgary.craigslist.ca/apa/4887253590.html,1500,1711 - 25th Avenue SW,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00x0x_jXvxh24FrQj_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada",,,
/apa/4887250927.html,http://calgary.craigslist.ca/apa/4887250927.html,1300,1711 - 25th Avenue SW,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada",,,
/apa/4898910290.html,http://calgary.craigslist.ca/apa/4898910290.html,1350,,", Calgary, Alberta, Canada",2,1,940,#N/A,51.048615,-114.070846,"Calgary, AB, Canada",,,
